10%_1,10%_2,20%,score
9.0,7.0,6.0,6.0
9.0,7.0,6.0,6.0
10.0,9.0,7.0,7.25
9.0,7.0,6.0,6.0
10.0,8.0,7.0,7.5
9.0,7.0,6.5,6.5
10.0,8.0,6.0,7.25
10.0,8.0,8.0,8.0
10.0,8.0,7.5,8.75
9.0,7.0,6.0,5.5
9.0,7.0,6.0,6.0
10.0,8.0,7.0,7.5
10.0,8.0,7.0,7.0
10.0,8.0,6.0,7.5
10.0,9.0,7.0,7.25
6.0,5.0,5.0,5.0
9.0,7.0,6.0,6.0
10.0,9.0,7.0,6.5
9.0,7.0,6.0,6.0
9.0,7.0,6.0,3.5
10.0,8.0,7.0,8.0
9.0,6.0,6.0,6.5
10.0,7.0,6.0,6.0
10.0,7.0,6.0,7.0
10.0,6.0,6.0,6.0
10.0,7.0,6.0,7.0
10.0,8.0,6.5,7.5
9.0,8.0,6.0,5.5
9.0,7.0,6.0,6.5
10.0,7.0,6.0,6.0
9.0,7.0,6.0,5.5
9.0,7.0,6.0,4.5
9.0,7.0,6.0,
10.0,9.0,7.0,7.5
10.0,8.0,7.0,7.0
10.0,8.0,7.5,7.25
9.0,7.0,6.0,6.5
10.0,8.0,7.0,7.25
10.0,8.0,7.0,7.25
10.0,7.0,6.0,6.0
10.0,8.0,7.5,7.0
10.0,8.0,7.0,7.0
9.0,7.0,6.0,6.0
7.0,6.0,5.0,5.0
9.0,7.0,6.0,6.0
9.0,7.0,6.0,5.5
10.0,8.0,7.0,6.75
10.0,8.0,6.0,7.0
9.0,7.0,6.0,6.0
9.0,7.0,6.0,5.5
10.0,8.0,7.0,6.75
10.0,8.0,6.0,7.0
9.0,7.0,6.0,6.0
10.0,8.0,7.0,6.5
9.0,7.0,6.0,6.0
9.0,7.0,6.0,5.0
10.0,7.0,6.0,7.0
9.0,7.0,6.0,5.5
9.0,7.0,6.0,6.0
9.0,7.0,6.0,4.5
9.0,7.0,6.5,6.5
7.0,7.0,6.0,6.75
9.0,7.0,6.0,5.0
10.0,8.0,7.0,6.75
10.0,8.0,7.0,5.5
10.0,8.0,7.0,7.5
9.0,7.0,6.0,6.5
7.0,6.0,5.0,4.5
9.0,7.0,6.0,7.75
9.0,7.0,6.0,6.75
9.0,7.0,6.0,5.5
9.0,7.0,6.0,7.5
10.0,8.0,7.0,7.5
10.0,8.0,7.0,6.0
9.0,7.0,6.0,7.0
10.0,8.0,7.0,6.5
9.0,7.0,6.0,6.0
8.375,7.25,8.5,9.0
8.25,7.25,8.5,9.0
8.5,7.5,8.5,10.0
4.0,7.25,8.5,9.0
8.75,7.5,8.5,9.5
7.75,7.75,7.75,7.5
7.0,3.0,7.0,7.0
7.5,7.5,7.5,7.5
7.0,7.0,7.0,7.0
7.25,7.0,7.0,7.5
7.625,7.25,7.0,7.25
7.75,7.25,7.25,7.5
7.625,7.375,7.75,7.5
7.5,6.5,6.75,7.0
7.5,7.25,7.0,7.25
8.5,8.0,9.0,9.0
8.125,7.625,7.5,7.75
8.125,7.625,7.75,7.75
8.25,7.875,8.0,7.5
8.0,7.25,8.25,8.0
7.75,7.0,6.0,7.5
8.25,7.25,6.5,8.0
3.5,0.0,0.0,0.0
8.75,8.0,9.0,8.5
7.75,7.25,6.75,8.0
8.0,7.0,7.0,7.5
7.75,7.625,7.5,7.5
7.25,7.5,7.0,7.0
3.75,7.0,7.0,7.0
8.0,7.125,7.0,7.25
7.75,7.0,7.0,7.0
8.125,7.25,7.0,7.5
8.5,3.75,7.0,7.0
8.0,3.75,7.0,8.0
8.375,7.675,7.0,7.5
7.5,7.5,7.5,8.0
8.25,7.75,7.0,8.0
7.0,7.0,7.0,8.0
8.25,8.0,7.5,8.25
7.75,7.0,7.0,8.0
8.25,7.25,7.0,8.0
7.75,7.0,6.5,7.25
7.4,6.75,6.0,7.0
7.5,6.0,6.0,6.5
0.0,0.0,0.0,0.0
7.75,6.5,7.5,7.5
8.0,7.25,7.5,7.5
8.25,8.25,8.5,8.0
8.0,7.0,7.5,7.5
8.25,7.5,7.5,7.75
8.0,7.875,6.5,7.75
8.25,7.5,6.5,7.5
7.75,7.5,7.0,7.5
8.0,7.25,6.5,7.5
8.125,7.875,6.0,7.75
7.5,6.0,7.0,6.5
7.5,7.625,8.5,8.0
7.25,6.5,7.5,8.0
7.75,8.0,9.5,9.0
7.125,7.0,7.5,8.0
0.0,0.0,0.0,0.0
7.625,7.375,7.0,7.0
0.0,0.0,0.0,0.0
0.0,7.75,7.5,6.0
7.5,7.0,7.0,7.0
7.0,6.25,6.0,7.0
0.0,0.0,0.0,0.0
0.5,5.75,5.0,7.0
7.375,7.375,6.5,7.5
3.75,2.625,6.0,6.0
8.25,7.75,8.25,8.0
3.5,3.25,6.0,6.5
7.25,6.5,6.0,6.5
7.75,3.5,7.5,7.5
0.0,0.0,0.0,0.0
